屏東縣鹽埔鄉,(彭厝國小)_新圍,C0R16
臺東縣關山鎮,(親水公園)_關山,C0S89
花蓮縣卓溪鄉,玉里林道林務局屋舍旁 - 第9河川局_苗圃,01T24
花蓮縣光復鄉,大興村 - 水保局_大興,81T9K
屏東縣恆春鎮,燈塔路51巷33號(墾丁雷達站區)_墾雷,C0R62
臺東縣鹿野鄉,(鹿野高台高眺亭旁)_鹿野,C0S71
臺東縣東河鄉,都蘭村431號(都蘭國小)_都蘭,C1S63
花蓮縣富里鄉,明里村2鄰明里24號(老村長家) - 第9河川局_明里,01T72
高雄市阿蓮區,(阿蓮區公所)_阿蓮,C0V53
花蓮縣豐濱鄉,豐濱村光豐路51號(自來水豐濱營運所) - 第9河川局_豐濱,01T73
高雄市燕巢區,金山里番田路29號(金山國小) - 第6河川局_水利署金山,01P39
屏東縣牡丹鄉,(恆春事業區29林班、石門古戰場)_石門山,C1R29
臺東縣延平鄉,紅葉村紅谷路2號,卑南上圳管理房頂) - 第8河川局_上里,01S57
花蓮縣萬榮鄉,(太田事業區128林班、馬太鞍苗圃)_太安,C1T95
臺東縣綠島鄉,_綠島,C0S73
高雄市岡山區,岡山路341號(岡山地政事務所)_岡山,C0V66
花蓮縣萬榮鄉,林道16K(馬錫山) - 第9河川局_馬太安,01T66
臺中市和平區,自由里東崎路二段116號_雙崎,C0F90
臺東縣臺東市,大同路106號_臺東,46766
花蓮縣豐濱鄉,豐濱村_豐濱,C0T9I
屏東縣里港鄉,永春村中山路104號(里港鄉公所)_里港,C0R59
高雄市大社區,自強街1號(大社區公所)_大社,C0V77
屏東縣瑪家鄉,瑪家村(內埔分局) - 第7河川局_新瑪家,01Q92
屏東縣來義鄉,來義村 - 水保局_水保局來義,88R46
臺東縣蘭嶼鄉,紅頭村2號_蘭嶼,46762
花蓮縣光復鄉,大豐村9鄰265號(富源國中對面山腰)_富源,C0Z08
高雄市燕巢區,西燕里工程路1號(阿公店水庫)_阿公店,C0V40
南投縣信義鄉,(人倫17林班苗圃) - 第4河川局_西巒,01H47
臺南市西港區,中山路450號(西港消防分隊)_西港,C0X14
臺南市安南區,公學路六段589號(學東國小)_安南,C0O95
屏東縣來義鄉,來義村72號(來義國小內社分校) - 第7河川局_新來義,01Q35
臺東縣卑南鄉,美農村 - 水保局_初鹿國中,81S89
臺東縣卑南鄉,利吉村10鄰環山路12號(利吉國小) - 第8河川局_利吉國小,O1S65
高雄市桃源區,梅山村(天池工作站) - 第7河川局_天池,01V07
彰化縣社頭鄉,社斗路一段258號(社頭國小)_社頭,C0G86
屏東縣牡丹鄉,石門村 - 第7河川局_石門,01Q87
高雄市燕巢區,尖山里尖山巷11-1號(燕巢國小尖山分校)_尖山,C1V39
屏東縣萬巒鄉,新隆路64號、佳佐段180號(萬隆農場)_來義,C0R24
高雄市阿蓮區,清蓮里中山路222號(水利會阿蓮工作站) - 第6河川局_阿蓮(2),01P50
屏東縣春日鄉,(大漢山頂)_大漢山,C1R44
新竹縣尖石鄉,嘉樂村6鄰7號 - 水保局_尖石國小,81D63
屏東縣內埔鄉,水門村成功路83號(國立內埔農工)_三地門,C0R15
高雄市湖內區,中山路一段290-1號(湖街派出所)_湖內,C0V64
屏東縣內埔鄉,北葉村風景巷85號(瑪家鄉公所) - 第7河川局_三地門,01Q93
臺東縣延平鄉,武陵村(武陵國小後) - 第8河川局_武陵,01S13
屏東縣恆春鎮,墾丁里牧場路1號(畜產試驗所恆春分所)_墾丁,C0R36
屏東縣恆春鎮,天文路50號_恆春,46759
屏東縣九如鄉,九如路二段416號(九如鄉公所)_九如,C0R49
嘉義縣番路鄉,大湖村下坪5鄰8號(大湖國小) - 第5河川局_大湖山,01L39
高雄市旗津區,東沙52號_東沙島,46810
高雄市橋頭區,隆豐路1號(橋頭區公所)_橋頭,C0V76
嘉義縣番路鄉,大湖村五鄰下坪8號(大湖國小)_大湖,C1M57
屏東縣春日鄉,力里村 - 第7河川局_大漢山,01R03
臺南市佳里區,(延平派出所附近)_佳里,C0X08
高雄市那瑪夏區,達卡努瓦里_達卡努瓦,C1V16
屏東縣瑪家鄉,瑪家村4鄰24號(後山)_瑪家,C0R14
高雄市桃源區,石山林道7K(特有生物研究保育中心中海拔試驗站)_溪南,C1V58
高雄市旗山區,大德里(旗山國中) - 第7河川局_旗山(4),O1P47
臺南市七股區,鹽埕237-11號(七股雷達站)_七股,C0X31
屏東縣萬巒鄉,建興路40號(赤山國小)_赤山,C0R19
宜蘭縣南澳鄉,(東澳嶺營區)_東澳嶺,C1U84
臺南市南區,明興路2號(南區區公所)_臺南市南區,C0X11
新竹縣五峰鄉,竹林村羅山15號(竹林國小分校後) - 第2河川局_太閣南,01D10
高雄市茂林區,多納林道9K(林試所六龜研究中心多納苗圃)_多納林道,C1V78
苗栗縣卓蘭鎮,內灣里 - 水保局_白布帆,81E87
臺南市學甲區,華宗路313號(學甲區公所)_學甲,C0X22
高雄市那瑪夏區,瑪雅里平和巷171號 - 水保局_那瑪夏國中,81V83
嘉義縣大埔鄉,西興村_菜瓜坪,C1M40
嘉義縣布袋鎮,龍江里2-2號(布袋消防分隊)_布袋,C0M75
高雄市路竹區,國昌路76號(路竹區公所)_路竹,C0V75
屏東縣春日鄉,七佳村自強一路92號(力里國小)_力里,C1R25
臺南市歸仁區,沙崙里184號(北沙崙農場)_沙崙,C1N00
花蓮縣壽豐鄉,(中興大橋旁)_中興,C1T92
屏東縣霧臺鄉,霧臺村神山巷73號 - 第7河川局_神山,O1S69
屏東縣來義鄉,南和村南和288號(南和派出所) - 第7河川局_南和,01Q36
屏東縣潮州鎮,泗林村開元2巷1號(泗林國小) - 第7河川局_泗林,01R44
高雄市那瑪夏區,瑪雅村和平巷171號 - 第7河川局_民權,O1V52
嘉義縣阿里山鄉,里佳村_里佳,C0M81
嘉義縣番路鄉,公興村中寮21號(公興村活動中心) - 第5河川局_小公田(2),01L36
花蓮縣豐濱鄉,臨海段776-4地號(加路蘭山營區)_加路蘭山,C0T9H
高雄市田寮區,古亭里_古亭坑,C0V37
屏東縣潮州鎮,光春路290號(縣立光春國中)_潮州,C0R22
屏東縣春日鄉,(春日國小)_春日,C0R26
屏東縣霧臺鄉,(屏東事業區46林班、離山地文化村方向、轉播站前)_阿禮,C0R13
臺南市北區,文賢路678號(和緯消防分隊)_臺南市北區,C0X10
花蓮縣鳳林鎮, - 水保局_山興分校,81T86
屏東縣麟洛鄉,中山路158號(麟洛鄉公所)_麟洛,C0R57
高雄市田寮區,古亭里廟後巷2號(社區活動中心) - 第6河川局_水利署古亭坑,01P28
臺南市仁德區,仁義路432號(仁德消防分隊)_仁德,C0X16
